Longitude,Latitude
80.2297965,26.5201468
80.2296719,26.5201504
80.2295474,26.5201493
80.2294235,26.5201488
80.229299,26.52015
80.2291747,26.5201508
80.2290503,26.5201518
80.2289262,26.5201531
80.2288016,26.5201542
80.2286779,26.5201554
80.2286562,26.5201615
80.2286576,26.5202718
80.2287815,26.5202791
80.2289056,26.5202779
80.2290298,26.5202766
80.2291539,26.5202761
80.2292784,26.5202751
80.2294026,26.5202736
80.2295267,26.5202725
80.2296509,26.5202716
80.2297746,26.5202706
80.2297915,26.520276
80.2297864,26.5203874
80.2296633,26.5203987
80.2295396,26.5203983
80.2294159,26.5203991
80.2292919,26.5203997
80.2291674,26.5204009
80.2290428,26.5204023
80.2289189,26.5204028
80.2287944,26.5204043
80.2286706,26.5204069
80.22866,26.5204116
80.2286616,26.5205223
80.2287852,26.5205294
80.2289098,26.5205281
80.2290342,26.5205271
80.2291582,26.5205261
80.2292824,26.520525
80.2294066,26.5205237
80.229531,26.5205228
80.2296555,26.5205217
80.2297769,26.520526
80.2297719,26.5206379
80.2296483,26.5206488
80.2295239,26.5206482
80.2294002,26.5206489
80.2292763,26.5206503
80.2291525,26.5206515
80.2290281,26.5206525
80.2289042,26.5206538
80.2287805,26.5206547
80.2286568,26.5206563
80.2286547,26.5206563
